buckets,startDay,endDay,microCeph,births,local,N_H,L_H
31,1368,1399,2,3570,paraiba,3972202,72.6
30,1399,1429,0,3755,paraiba,3972202,72.6
31,365,396,2,13143,parana,11163018,76.5
28,396,424,3,14015,parana,11163018,76.5
31,424,455,0,13789,parana,11163018,76.5
30,455,485,3,14132,parana,11163018,76.5
31,485,516,0,13236,parana,11163018,76.5
30,516,546,0,13981,parana,11163018,76.5
31,546,577,1,12932,parana,11163018,76.5
31,577,608,1,13063,parana,11163018,76.5
30,608,638,0,12158,parana,11163018,76.5
31,638,669,0,11937,parana,11163018,76.5
30,669,699,0,13403,parana,11163018,76.5
31,699,730,0,14166,parana,11163018,76.5
31,730,761,0,12969,parana,11163018,76.5
